pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p204838	0.04190	-0.00308	-0.01528	0.02990	0.04802	0.08122	-0.03842	0.02634	-0.14572	0.05634	-0.07489	-0.04804	0.04554	-0.01514	-0.02821	0.00742	0.07361	-0.03401	-0.08267	-0.01883	-0.07627	-0.05434	-0.04932	0.05774	-0.04156	-0.07368	0.02848	0.06960	0.02817	0.02217	-0.01406	0.10753	(And (Agent $e0 $x0) (Member $x0 thing) (Theme $e0 $x1) (Theme $e0 $x2))
p204839	0.00882	-0.00319	0.00573	0.00538	0.00168	-0.00317	-0.01527	0.00166	0.01483	-0.00242	0.01404	-0.00520	-0.02461	-0.00762	0.01311	0.02461	-0.02246	-0.00757	-0.00797	0.01510	-0.01210	0.02284	-0.00732	-0.00791	-0.00371	0.02293	0.02340	-0.01771	-0.00194	0.03582	0.00566	0.00756	(And (Agent $e0 $x0) (Member $x1 new) (Past $e0) (Theme $e0 $x1))
p204840	0.21505	-0.04081	0.00533	-0.10623	-0.32324	-0.10350	-0.04971	-0.04423	0.21407	-0.41421	-0.10851	-0.01594	-0.07644	0.03584	-0.17051	-0.02206	0.27749	-0.07854	0.00964	0.03522	0.18663	0.01806	-0.05987	0.06785	0.01794	0.01942	-0.04462	0.03184	0.02817	-0.00221	0.01024	0.22792	(And (Agent $e0 $x0) (Ongoing $e1) (Patient $e1 $x1) (Theme $e0 $e1))
p204843	-0.13143	0.01796	-0.03845	0.10810	0.13970	0.00128	-0.03226	-0.08499	0.08159	-0.29383	0.09673	-0.03257	-0.07688	-0.09396	0.11634	0.09246	0.15751	0.05981	0.18921	0.15634	-0.20247	-0.04000	0.07341	0.10019	-0.04217	-0.10771	-0.10671	0.14465	0.11888	0.04548	-0.08874	-0.15662	(And (Agent $e0 $x0) (Past $e0) (Theme $e1 $x1) (To $e0 $e1))
p204845	-0.13142	0.01796	-0.03845	0.10810	0.13971	0.00128	-0.03226	-0.08499	0.08159	-0.29382	0.09673	-0.03257	-0.07688	-0.09396	0.11634	0.09246	0.15751	0.05981	0.18922	0.15634	-0.20247	-0.04000	0.07341	0.10019	-0.04217	-0.10771	-0.10671	0.14466	0.11888	0.04549	-0.08874	-0.15661	(And (Agent $e0 $x0) (Past $e1) (Theme $e0 $x1) (To $e1 $e0))
p204846	0.04190	-0.00308	-0.01528	0.02990	0.04802	0.08122	-0.03842	0.02634	-0.14572	0.05634	-0.07489	-0.04804	0.04554	-0.01514	-0.02821	0.00742	0.07361	-0.03401	-0.08267	-0.01883	-0.07627	-0.05434	-0.04932	0.05774	-0.04156	-0.07368	0.02848	0.06960	0.02817	0.02217	-0.01406	0.10753	(And (Agent $e0 $x0) (Possession $x1 free_soil_party) (Theme $e0 $x1) (Theme $e0 $x2))
p204847	0.04190	-0.00308	-0.01528	0.02990	0.04802	0.08122	-0.03842	0.02634	-0.14572	0.05634	-0.07489	-0.04804	0.04554	-0.01514	-0.02821	0.00742	0.07361	-0.03401	-0.08267	-0.01883	-0.07627	-0.05434	-0.04932	0.05774	-0.04156	-0.07368	0.02848	0.06960	0.02817	0.02217	-0.01406	0.10753	(And (Agent $e0 $x0) (Possession $x1 republican_party) (Theme $e0 $x1) (Theme $e0 $x2))
p204848	-0.01812	0.07296	0.00390	-0.06448	0.02718	-0.04850	-0.02868	0.08813	0.04485	-0.05191	-0.04271	0.05117	0.03396	0.04292	0.05765	0.02374	0.02327	0.00645	0.03716	-0.02457	-0.01272	-0.07785	-0.00409	-0.04686	-0.00707	-0.04256	0.02066	-0.02039	0.00385	-0.02098	-0.00699	0.06178	(And (Before $e0 $e1) (Past $e0) (Past $e1) (Patient $e0 $x0))
p204849	-0.02978	-0.00336	-0.00967	0.03660	-0.04508	0.02618	0.03543	0.00683	0.03802	0.04068	0.02864	0.00244	0.02979	0.00290	-0.01215	0.02748	-0.07674	-0.00590	0.03041	-0.00754	0.00876	-0.02699	0.01450	0.05111	0.02048	0.02412	0.00028	-0.02108	0.00984	0.03262	0.03498	0.03371	(And (Cardinality $x0 <num>) (Holder $e0 $x1) (Member $e0 have) (Theme $e0 $x0))
p204850	-0.12302	0.00941	0.02796	0.03189	0.04786	-0.02107	0.02091	-0.00671	-0.13777	0.08032	0.03726	0.05164	-0.01476	0.03113	-0.01061	0.06268	0.14425	0.04314	0.08932	0.02459	0.10012	0.01627	0.00508	-0.10025	0.02540	-0.03668	0.01465	-0.12052	-0.02991	0.06674	0.01332	0.11816	(And (Cardinality $x0 <num>) (Location $e0 $x1) (Past $e0) (Patient $e0 $x0))
