pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p201736	0.01877	-0.00236	-0.01133	0.05059	0.03432	0.00842	-0.01571	0.08974	-0.02438	-0.06984	-0.00182	0.05118	-0.00188	-0.01325	0.05734	-0.03607	-0.07362	0.03069	0.04394	-0.00802	0.05434	0.01969	-0.02036	0.01064	0.05142	-0.03778	-0.00670	-0.02213	0.12461	-0.03752	0.02342	0.07556	(And (Agent $e0 $x0) (Result $e0 $e1))
p201737	-0.02611	-0.00334	-0.05288	-0.04106	-0.01468	0.00794	-0.02988	-0.01402	-0.04880	0.03184	-0.02798	0.03314	0.03526	-0.05311	-0.03112	0.06365	0.01773	-0.01677	-0.02411	-0.02661	0.01218	-0.00962	-0.01825	0.00877	0.01255	0.01878	-0.00390	0.00925	-0.03215	-0.02279	0.01570	0.01341	(And (Agent $e0 $x0) (Through $e0 $x1))
p201738	0.02403	0.01120	0.00543	0.03104	0.00076	-0.01266	-0.01113	-0.02482	0.00969	0.02831	-0.01348	-0.00502	-0.01215	-0.00220	-0.02814	-0.01538	0.02168	0.00146	0.00033	0.01357	-0.01399	0.00290	0.01619	-0.01183	0.00500	0.00828	-0.00108	0.00683	-0.03040	-0.01089	-0.00487	-0.02125	(And (Already $e0) (Patient $e0 $x0))
p201739	-0.01826	-0.02284	0.10981	-0.02256	-0.01916	0.03150	0.00470	-0.03612	-0.03470	-0.00180	-0.04263	-0.04860	-0.01740	-0.00870	-0.03399	0.00644	0.04206	-0.02176	-0.06007	-0.01090	-0.00315	-0.03549	0.03526	-0.05198	0.06591	0.00951	-0.00357	0.08012	0.04382	0.00844	-0.04984	-0.07288	(And (Cardinality $x0 <num>) (Patient $e0 $x0))
p201741	-0.04369	-0.00433	0.02903	-0.04963	-0.02885	-0.02058	0.00538	0.02769	-0.06896	-0.01155	-0.02401	-0.01537	-0.01984	0.00511	0.00820	0.03079	0.03023	-0.00982	-0.05719	0.00797	-0.04917	0.01490	0.02267	0.00825	-0.01249	0.01379	-0.06007	-0.01928	-0.03620	0.01730	0.01461	-0.00562	(And (Experiencer $e0 $x0) (Member $e0 sleep))
p201742	-0.01855	0.01886	0.00257	-0.02683	-0.01470	0.01537	-0.03658	0.03133	-0.01500	-0.03602	0.01305	-0.02459	-0.01043	0.05316	0.05548	0.03609	0.02473	-0.00396	-0.00798	0.01119	0.02270	-0.01904	0.09556	-0.03477	0.04510	-0.01759	-0.03863	0.00524	-0.00748	0.04452	-0.05504	-0.00287	(And (Experiencer $e0 $x0) (Source $e0 $x1))
p201743	0.03690	-0.04227	0.12505	-0.03393	-0.03513	0.00583	-0.01649	-0.01410	0.06816	0.00341	0.01778	0.08520	-0.09807	0.09992	-0.05860	-0.08342	0.00782	0.01433	-0.07591	-0.00662	-0.04161	-0.10631	-0.01994	0.02146	0.03141	-0.10627	0.06480	0.02831	-0.03555	0.14923	0.10452	0.04300	(And (GroupOf $x0 person) (Patient $e0 $x0))
p201744	-0.00442	0.03391	-0.00239	-0.02571	-0.00178	-0.02848	0.00466	0.00051	-0.00089	0.00006	0.02206	0.02014	0.02117	-0.01294	-0.01994	-0.00280	0.01875	0.06727	0.00885	-0.01451	-0.01636	-0.00914	-0.00130	-0.02282	0.00412	0.04184	-0.00027	0.01161	0.00601	0.00061	-0.00716	0.01627	(And (GroupOf $x0 thing) (Theme $e0 $x0))
p201745	0.01460	-0.05960	-0.00304	-0.01389	0.10006	-0.05414	0.00953	0.11652	-0.02916	0.09085	0.01494	-0.01176	-0.01603	-0.02341	-0.03392	-0.00371	0.01153	-0.11278	-0.00684	-0.02430	0.03834	0.09636	-0.02667	-0.04904	-0.00816	-0.03410	0.03552	0.08566	0.03828	0.09751	-0.05163	0.01313	(And (Holder $e0 $x0) (Past $e0))
p201746	0.00968	-0.01009	0.01849	-0.01019	-0.01349	-0.02899	-0.01293	-0.00997	0.01495	0.00653	0.01795	0.00709	0.01747	0.04234	-0.01470	-0.01488	-0.00183	0.00849	-0.00002	-0.00776	0.01006	0.00102	0.00714	0.01446	-0.00254	-0.02474	0.00717	0.00937	-0.01091	0.00476	0.02187	0.00854	(And (In $e0 $x0) (Past $e0))
p201747	-0.01740	-0.03524	-0.01991	0.00703	-0.02533	0.01175	-0.00084	-0.00707	-0.04612	-0.00671	-0.04760	-0.02978	-0.01073	-0.03062	0.00960	-0.02248	0.00415	-0.01070	-0.00192	-0.00433	-0.02657	0.04908	-0.02066	0.00049	-0.01422	-0.00052	0.01501	-0.00784	-0.00409	0.05686	0.01528	-0.00447	(And (Member $e0 capture) (Theme $e0 $x0))
p201748	-0.03075	0.01009	0.01663	0.02520	0.00563	-0.01477	-0.00616	-0.02676	0.00746	0.02349	0.01143	0.02833	-0.00421	-0.00182	-0.01413	0.00530	-0.01825	-0.01691	0.01666	0.00270	0.01810	0.00846	0.02481	0.01840	-0.04052	0.00621	-0.01268	0.00703	-0.00673	0.00197	-0.00175	-0.01588	(And (Member $e0 change) (Patient $e0 $x0))
p201749	-0.06847	-0.08581	0.16378	-0.08123	0.13868	0.02989	0.21324	-0.11872	0.18743	0.05181	-0.02170	-0.06407	-0.10385	0.03062	-0.11591	0.18121	-0.15750	-0.00024	0.13791	-0.07579	0.12161	0.16560	-0.03621	-0.04305	0.13554	0.04792	-0.11729	0.11526	0.18396	-0.19325	0.14433	-0.13488	(And (Member $e0 contain) (Theme $e0 $x0))
