pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200741	0.02257	-0.01598	-0.02698	-0.00308	-0.00212	0.04708	-0.00989	-0.08636	-0.04486	-0.01022	0.00106	0.01371	0.00365	-0.00446	-0.05842	-0.00550	(Member $x0 new)
p200785	-0.04028	0.22082	-0.23220	0.10157	0.12771	-0.04845	0.05115	0.10658	-0.14207	-0.07380	0.11417	0.19301	-0.02291	0.03270	-0.06078	0.00843	(And (Member $e0 start) (Ongoing $e1) (Theme $e0 $e1))
p200830	-0.00894	-0.09718	0.05982	0.02738	-0.02831	-0.01500	-0.04393	-0.09890	0.00174	0.00201	-0.05469	0.21519	-0.03406	0.02726	0.03118	-0.05809	(And (Agent $e0 $x0) (Ongoing $e0) (Past $e0))
p200844	-0.00594	0.06417	0.05921	-0.00882	-0.00581	-0.00540	0.01413	-0.09051	0.03289	0.06345	-0.04787	-0.03391	-0.06143	0.01064	0.01753	0.01920	(And (Before $e0 $e1) (Past $e1))
p200845	0.02013	-0.06872	-0.00570	-0.06106	-0.04348	0.00174	-0.00453	-0.02877	0.04549	0.01907	-0.01914	-0.04418	0.18495	0.15964	-0.18862	0.11460	(And (Cardinality $x0 <num>) (Theme $e0 $x0))
p200846	-0.00898	0.02388	-0.00412	0.03572	-0.04479	-0.09849	-0.01213	-0.03073	0.12649	0.03239	-0.01595	-0.01831	0.18969	0.13992	-0.13418	0.00300	(And (Member $e0 have) (Past $e0))
p200847	-0.03946	0.22183	-0.22931	0.10211	0.12795	-0.04975	0.05061	0.10484	-0.13996	-0.07414	0.11406	0.19089	-0.02501	0.03375	-0.05731	0.00765	(And (Member $e0 start) (Theme $e0 $e1))
p200848	-0.00219	0.05377	-0.02723	-0.06669	0.10838	0.01743	-0.01239	-0.06111	-0.02927	0.02790	-0.02148	0.00094	-0.03323	0.00967	0.00291	0.02413	(And (Member $x0 thing) (Patient $e0 $x0))
p200858	-0.03886	0.05896	-0.07067	-0.04506	0.02113	0.16759	-0.00367	-0.06502	0.22234	0.04671	-0.00439	-0.03880	-0.10447	0.00394	0.00524	0.02499	(Member $e0 become)
p200859	0.13223	0.00917	0.05931	0.15133	0.11573	-0.24974	0.10080	0.07633	0.20574	-0.07230	0.07458	-0.02664	-0.03345	-0.07300	0.02011	0.14800	(Member $e0 begin)
